Type,A,B
siNT,-0.015178977081205925,0.006409591462519784
siTONSL,0.08364563439909149,0.10562863936969549
si53BP1,-0.10939278802867636,-0.12189608500411263
siTONSL+si53BP1,0.08274654587250291,0.024735130514224993
