Type,Grader,n,mean,median,sd
siNT,AI,975,-0.015178977081205925,0.0,0.5297207774031548
siNT,Human,200,0.006409591462519784,-9.197655030052185e-06,0.30127373458164464
siTONSL,AI,1126,0.08364563439909149,0.0980806539620119,0.5955292121701314
siTONSL,Human,149,0.10562863936969549,0.13249629378378927,0.3723261479949323
si53BP1,AI,1428,-0.10939278802867636,-0.08247743877040126,0.5025902940338693
si53BP1,Human,150,-0.12189608500411263,-0.08690779340455203,0.38182455514412933
siTONSL+si53BP1,AI,848,0.08274654587250291,0.07802285907854901,0.4488173068425353
siTONSL+si53BP1,Human,150,0.024735130514224993,0.05225264804458496,0.3484216992326421
